question_id,bad_word,question,question_sentiment_gold,answer,answer_sentiment_gold,username,
question_box_103608214843,stfu,Pussy,negative,STFU,negative,@Yoselinlikesfood,
question_box_115742819540,fuck,so this is coming from a AHS junior....it's disgusting how you treat people like trystyn morris....I don't know her but from what i can tell she's had some family problems and regardless you are so incredibly hateful and rude. I hope you realize that bullying is not the anserw. honestly,negative,Lol I'm such a bully to her right. She's a bitch to me 24/7 sooo shut the fuck up,negative,@Jordynmay,
question_box_116606901035,shit,Shit did you study ?!!,positive,No :)))))))),positive,@AEA1,
question_box_121238351987,fucking,Your fucking perfection,positive,aw thankyouu<3,positive,@saraa_ghb,
question_box_106774985815,fucking,100% don't let anybody tell you your ugly or anything cause your fucking beautiful,positive,thank you so much<3 I love you so fucking much.,positive,@Briannabowers,
question_box_128156303782,die,Aw if she doesn't I will give u a hug till u die because I know u guys r so close,positive,Ok thanks,positive,@samicarriker,
question_box_109310478113,fuckin,Is there any person in ur life whose always there for you?,positive,Nope.. Unfortunately No One Bcoz Everyone Is Fuckin Too Busy Whenever I Need Them :( >_<,positive,@innocentboysalman,
question_box_113805077849,shit,Lmao what ever you say I can tell your lying we both know your not one,negative,How tf can you tell if I'm lieing through a screen idiot?I am a virgin.you don't know shit.,negative,@iliannalerma,
question_box_125245585238,shit,1d and 5sos are the shit,positive,Nope,positive,@masonmuchaw,
question_box_134064522150,ass,Ass,negative,K,positive,@samicarriker,
question_box_123328287257,fuk,likers get tbh??,positive,Fuk yeah,positive,@Auuuuutumn,
question_box_115818135829,ass,Why do text freaking weird ass crap to like liz Riley Erin and hailey,positive,"oh ya i forgot, i have some grocieries with me i gotta go",positive,@jdt1948,
question_box_115112239274,nigga,Would you marry a robot?,positive,Nigga what?,positive,@theonlysherrod,
question_box_59384341092,hoe,Who do you talk to on the phone most often?,positive,none of yo' bizness hoe.,negative,@heyitsdejaa,
question_box_124476858785,die,so the world would die because of you?,positive,What?,positive,@L_Payton12,
question_box_117412608584,fucking,I see Antonio told his parents about you... That is so fucking cute OMG,positive,I knowwww,positive,@nicoleeiiee,
question_box_118422768492,fuck,Who the hell even cares who she likes calm the fuck down,negative,I'm sorry???,positive,@Lexikreitlow,
question_box_128422012884,shit,You're kinda sorta a bitch,negative,The nicest people can be the biggest bitch once their done with shit like that,positive,,
question_box_114840172607,nigga,"Damnn nigga you tall how tall is ""no one?""",positive,Idk lol,positive,@munib23,
question_box_106775248215,fuck,you down to see jb again?,positive,fuck yes!,positive,@Briannabowers,
question_box_50663318766,die,"If you knew you'd die tomorrow, what would you do today?",positive,Party hard,positive,@AgentIncognito,
question_box_112797343832,die,You're such a joke and so are your friends,negative,thanks! I know I'm a joke. just tell me something I don't know.and if you say that about my friends one more freakin time oh I swear I will find you and you are going to die. no one EVER. and by EVER I mean NEVER FREAKIN EVER says that about my friends. especially someone as stupid as you.,negative,@turanganator,
question_box_113587686279,fuck,"If you have friends coming over, what would you cook?",positive,Whatever the fuck I feel like or can.,positive,@Yesslyv,
question_box_129367325454,shit,Opinion about the incoming 6th graders,positive,"OMFG IF THIS IS HOW THE 8TH GRADERS AND 7TH GRADERS FELT ABOUT US OMG I TOTALLY AGREE WITH THEM AND I FEEL SORRY FOR THEM! THEY ARE SO ANNOYING AND I OVER HEARD THEM SAYING: ""omg when we are in 6th grade we are going to be so popular like its not even funny."" -words from a sixth grader who thinks is the shit. but im probably gonna talk to like one person doe.",positive,@nicoxflorez,
question_box_102840411735,die,What is your attitude to smoking?,positive,"Do it, you die",positive,@Briannabowers,
question_box_125351727612,nigga,I still wanna ram that pussy baby,positive,nigga,positive,@ReCKLeSs7377,
question_box_129506370140,fuck,WHY THE FUCK IS YOUR NAME SUMMER VENUS,negative,bc,positive,@careymay,
question_box_112085115953,shit,What angers you the most?,positive,hitting my toe against the corner of a table or chair. that shit hurts,positive,@nathalie_sofiaaa,
question_box_124592849750,ass,What was the last argument you had?,positive,A stupid ass one that i wasted my time on,positive,@Suzie_Valencia,
question_box_123088859796,asshole,Why are you an asshole?,negative,Ehh too much to explain,positive,@justinryk,
question_box_122883287470,ass,"unf = unfuckingbelievable, as in your ass is unf!",positive,who is this,positive,@madison_nicole03,
question_box_130931565640,fuck,Please i will fuck him,negative,He will,positive,@josesimon_,
question_box_111271952499,fuck,U hate her ?,positive,no just fuck off,negative,@saraa_ghb,
question_box_131360798848,ass,Tall ass bitch,negative,Story I'm insecure about my height,positive,@Alecbank,
question_box_103315191534,kill,"HE IS AN INSANE BASTARD! he doesn't care about anyone else but himself and he doesn't even have HUMAM EMOTIONS! he does have guilt, he isn't even sorry when he almost kill people, he never likes anyone, he always want to HURT people ect! why cnt u see this",negative,You talking about sejon?,positive,@AgentIncognito,
question_box_48679428459,nigga,owned nigga,positive,Well,positive,@forevert0rn,
question_box_118018310842,die,:O omg    stop being sad if i die,positive,I'm gonna be sad,positive,@BradleySimpsonVEVO2,
question_box_27512959839,ass,People really do ask weird ass questions,positive,I know,positive,@CharlieWyman,
question_box_120556252482,hoe,Thoughts on Marianne,positive,she's ma hoe and absolute perfection and I love her so freaking much,positive,@cindychen_,
