DocID	Label	Text
4forums_1918	feel-4forums-boot3	No one, I repeat no one wants to take punitive actions against any woman unless you call carrying the baby to term punitive action.........  All we want is for the baby in the womb to have the same chance you did if possible...........
4forums_5798	feel-4forums-boot3	Spot the difference between reading a book and carrying a gun. I'm sorry if you can't. People don't carry books because they're worried about being assailed by someone with an eraser.
4forums_4486	feel-4forums-boot3	I think the answer to that is much like J.P. Morgan's famous retort when someone asked him how much his yacht cost. 'If you have to ask, you can't afford it'. I'm not saying someone uninterested in different weapons couldn't afford them, but if the interest isn't already there, it's doubtful any explanation would provide an answer to your particular question.
4forums_7616	feel-4forums-boot3	And thank you.  Pity that the self-proclaimed Christians around here cannot show the same courtesy that you bring to the discussion.  I apologize for being absent recently, the Beagle 2 Mars Lander was delivered last Tuesday, and I was in France working on the spacecraft.
4forums_1515	feel-4forums-boot3	I don't mean to get off on a tangent here, but it's our duty to protect ourselves? Right is one thing, but duty?
4forums_9149	feel-4forums-boot3	I know what you mean. I also wonder how they think their children or grandchildren will be paying for their medical bills.  Note, by way of comparison, this Pittsburgh local t.v. clip of the September 20th March for Jobs (part of Healthcare Justice Week, this week). See how clearly and intelligently the protesters articulate their objectives, and without the disgraceful display of blind malice we have otherwise witnessed from the teabaggers:  http://www.youtube.com/watch?v=MkUxvX5JNJg
4forums_3464	feel-4forums-boot3	I'm going to play devil's advocate for a moment.  Suppose this expedition had set out and hadn't found the transitional fossil. Would we accept this as falsification of the hypothesis on which the prediction was based? I suspect not, as we know that fossilisation (in the first instance) and the uncovering of said fossils (in the second) are contingent, not necessary, events.  By Popperian criteria, if we would not accept a nil result as falsification, we cannot trumpet a positive result as validation.
4forums_10000	feel-4forums-boot3	Honey!!! What do you think I was hinting at????  Hmmm...wonder if I could get my partner to actually step onto a plane...  Hey, has TF Green changed all that much in the past fifteen years?  At least I've got some friends I could stay with!!! (and no...I don't mean you...remember I used to live in RI)
4forums_3276	feel-4forums-boot3	ItÃâs not my responsibility to ease job requirements so that an underachiever can reap the same rewards as an achiever. ThatÃâs not my idea of equality.
4forums_5149	feel-4forums-boot3	You are right, there are Republicans that are moderates and favor abortion.......There are Democrats that are Conservative and are anti abortion......There are just many more Republicans that are Conservative then there are Democrats who are........  That is why although I am a Conservative I usually vote Republican..............
4forums_4525	feel-4forums-boot3	Exactly so.  Pro-choice people would not impose their values on anyone; profetallifers would impose theirs on every woman of child bearing age.
4forums_733	feel-4forums-boot3	and she got punished for it  Good thing too because it led to the law being changed. If someone thought drunk driving was an unrighteous law and so they did it and got punished...I don't think you will see much sympathy. It many states that is probably true for abortion.  Why is it unrighteous anyway? Only because you disagree with it
4forums_6119	feel-4forums-boot3	Only if we come up with some reason to keep bumping it...  Maybe we can paste a linked quote every time the claim is yet again uttered? Technically, it's relevant and on topic...
4forums_8530	feel-4forums-boot3	No, no. It was all my fault. I was praying that she find peace, and my mother-in-law is a priest so I've got an in with God.  I guess Jesus figured that all believers would want, and pray for, the same thing. Oops.
4forums_11243	feel-4forums-boot3	So that is your opinion of humanity? How sad. Or maybe your are erecting a strawman and not doing a very good job of knocking it down.
4forums_7818	feel-4forums-boot3	and tell me what did you gain out of making this statement? Just to let you know... the Bible (if you would actually read it in context instead of reading a little portion that you want to and interpret it the way you want outside of its context).. teaches how to love... because God is love.. and laid down his own life so that we could be FREE! hmmm.... sounds like the motto of what our troops do for our country... they lay their lives down because they want us to be free... where do you think this  ideology  comes from???
4forums_4134	feel-4forums-boot3	good thing this argument has never been done!...oh wait.  With that logic we should make everything legal. You are much better off making theft legal and safe (no more guns needed!) than to have it illegal and dangerous.
4forums_2223	feel-4forums-boot3	So you condemn these people (the pro-lifers) for not helping, then acknoweldge that they can't actually go into the clinics to talk to them - you did say that one of your gripes was that where you work, you've never seen any pro-lifers offering any help. Now you know why.
4forums_9404	feel-4forums-boot3	I believe I said I would change my view. I will change my view on the issue of whether homosexuality is genetic.
4forums_3854	feel-4forums-boot3	And who would pick the 'some'? Perhaps you also believe they should be placed on Ritilin...for their own protection...because their teachers (without medical training) diagnose the infamous ADD demon in them.  Not to get off topic too far, some teachers evidently have trouble recognizing the difference between students that can't seem to pay attention and themselves (the teachers) being in dire need of coming across as interesting.  What makes you think teachers or parents could ever become adept at recognizing who needs to put on birth control? Shall we wait 'til one becomes pregnant? Shall we offer a survey of sexual activities?...to what age group?
4forums_6906	feel-4forums-boot3	So Darwin (the naturalist) didn't care at all about science or nature and was instead all about politics and destroying his own religion, huh?
4forums_4863	feel-4forums-boot3	Human rights?  Is a human fetus (a human child in the fetal stage of their life) not a human life?  Do I even need to bother with linking to a dictionary on this one anymore?  Just one word;  Hypocrisy
4forums_10407	feel-4forums-boot3	Just wondering if you are going to respond to the OP (as it was addressed to you to help you to understand something).  If you ask me I'd just ignore the negative comments that some posters make toward you. Just focus onexplanations of misunderstandings and constructive criticism.
4forums_7629	feel-4forums-boot3	I dunno.  Do you think the Tooth Fairy will be happy with people drink-driving?  Any argument from a religious stand-point necessitates proving that said religion is true. Do that, and you'll get a lot of respect from a lot of people.
4forums_10981	feel-4forums-boot3	Well, assuming that the slavery amendments to the federal constitution were repealed, then slavery certainly could be reintroduced. Minority freedoms are denied all the time. The right to murder, for example. I do not believe in the tyranny of the majority; I believe in the majority's right to legitimately wield its power. If we are not going to be governed by majority rule, then what will we be governed by? If not rule by the many, do you propose we be ruled by the few? Would you really be happy to live under a dictator?  Because self-government loses its meaning totally if the people are prohibited from amending their constitution by persons other than themselves. I really do not support rule by the very, very few.  Because this question is irrelevant.
4forums_11490	feel-4forums-boot3	So guns are more important than the safety of women? Then the right of women abandoned by their husbands to know about the financial situation of their spouses in a divorce case?  So men love their guns more than women? Is that some kind of homosexuality? Ya know a gun is kind of shaped like, um, you know what. A gun does ejaculate in a sense.
4forums_8320	feel-4forums-boot3	I believe in God as he has worked in my life. I have no objection to your particular belief.
4forums_7007	feel-4forums-boot3	Students become confused when the school curriculum implies that what their parents taught them is wrong.
4forums_3088	feel-4forums-boot3	I don't care what medical standards are, having a bacterial infection doesn't mean that you have actual culture on your side.  What's really going on is a war of opinions and beliefs. On one side you have the group that believes in individual rights and freedoms, and on the other you have those believe that, since no right is absolute in scope, that's the green light to go ahead and attempt to restrict and infringe on anything and everything they can, through any method available to them.
4forums_98	feel-4forums-boot3	Yo dude, its freedom of religion, not freedom from religion. Now if you can make a case for the establishment of a national religion you might have some thing. As far as athiests go, if they aren't happy feel free to emigrate any time.
4forums_10567	feel-4forums-boot3	Not afraid of anything... I want them and buy them because I CAN. They all have different uses and history I collect some of them for that reason.
4forums_2354	feel-4forums-boot3	Precisely, the only people who submit to strict gun control are the honest ones who, once disarmed, are then destined to become victims of those who have no respect for the laws anyway.
